model_name;model_type;state_count;transition_count;density;input_symbol_count;output_symbol_count;has_reset;reset_reliability;reliable_reset_type;model_generation_method;conversion_method;completely_specified;method;start_timestamp;finish_timestamp;duration_real;duration_user;test_sequence_length;test_gen_mem_usage;total_mem_usage;augmented_arc_count;cfg_profile;cfg_profile_path;force_fsm;simulation_mode;verbosity;log_timestamps;predefined_path;graphviz_enabled;pretty_json;no_test_suite;transition_list;consider_reset_transitions;debug_mode;system_name;mod_time;bin_size;version;verdict
HomeWork;FSM;21;80;3.809524;22;28;false;NONE;NONE;CUSTOM;NOT_CONVERTED;false;TT;2024-11-03 23:46:57.1487931;2024-11-03 23:46:57.1543966;0,0056035;0,006000;152;0;0;72;DEFAULT;config_files/default_profile.json;false;false;3;false;false;false;true;false;false;NO;false;DEFAULT_SYSTEM_NAME;0;0;3.5.4--R4: Belted kingfisher;OK
HomeWork;FSM;21;80;3.809524;22;28;false;NONE;NONE;CUSTOM;NOT_CONVERTED;false;TT;2024-11-03 23:47:54.7698986;2024-11-03 23:47:54.7751234;0,0052248;0,006000;152;0;0;72;DEFAULT;config_files/default_profile.json;false;false;3;false;false;true;true;false;false;NO;false;DEFAULT_SYSTEM_NAME;0;0;3.5.4--R4: Belted kingfisher;OK
